	Moisture	Carboxyl	Aryl	O_alkyl	Alkyl	pH	N	C	CN
Total_A_1	28.60807216	7.306416794	15.98607767	55.61601169	21.09148304	4.98	14.408	446.888	31.01665922
Total_A_2	22.68715241	7.809056707	16.27888686	57.2320042	18.68005826	5.01	13.3275	402.1695	30.17676207
Total_A_3	21.37673433	7.239136794	15.32857035	57.23582132	20.19646192	5.22	13.146	441.7375	33.61720704
Total_B_1	66.419685	6.396231057	15.33503108	55.78247758	22.48627288	5.54	16.4495	379.522	23.08584415
Total_B_2	67.24500696	6.550021354	15.56268424	58.57553224	19.31175658	5.57	16.4445	406.8285	24.74197532
Total_B_3	65.08876334	7.270500624	16.02915461	56.13529818	20.56503722	6.01	18.914	390.6575	20.65436945
Total_C_1	67.79092899	6.360636648	14.56778869	56.14918649	22.9223806	5.46	15.992	405.417	25.36374765
Total_C_2	70.57574464	5.808541564	14.07772582	58.13447986	21.97925478	5.56	16.868	397.689	23.58682986
Total_C_3	71.46565534	6.348379108	14.76101069	57.13184379	21.75877798	5.52	16.967	428.079	25.2316795
Total_D_1	63.33148122	5.775490951	13.85824948	60.19292035	20.17333571	5.5	13.453	412.952	30.70870063
Total_D_2	62.63588381	6.681897045	15.01097588	54.97483635	23.33228328	5.6	14.8825	395.966	26.61411815
Total_D_3	64.84704588	6.366689506	14.25872734	56.0205223	23.35405152	5.37	16.343	401.902	24.59856898
Active_A_1	28.60807216	7.306416794	15.98607767	55.61601169	21.09148304	4.98	14.408	446.888	31.01665922
Active_A_2	22.68715241	7.809056707	16.27888686	57.2320042	18.68005826	5.01	13.3275	402.1695	30.17676207
Active_A_3	21.37673433	7.239136794	15.32857035	57.23582132	20.19646192	5.22	13.146	441.7375	33.61720704
Active_B_1	66.419685	6.396231057	15.33503108	55.78247758	22.48627288	5.54	16.4495	379.522	23.08584415
Active_B_2	67.24500696	6.550021354	15.56268424	58.57553224	19.31175658	5.57	16.4445	406.8285	24.74197532
Active_B_3	65.08876334	7.270500624	16.02915461	56.13529818	20.56503722	6.01	18.914	390.6575	20.65436945
Active_C_1	67.79092899	6.360636648	14.56778869	56.14918649	22.9223806	5.46	15.992	405.417	25.36374765
Active_C_2	70.57574464	5.808541564	14.07772582	58.13447986	21.97925478	5.56	16.868	397.689	23.58682986
Active_C_3	71.46565534	6.348379108	14.76101069	57.13184379	21.75877798	5.52	16.967	428.079	25.2316795
Active_D_1	63.33148122	5.775490951	13.85824948	60.19292035	20.17333571	5.5	13.453	412.952	30.70870063
Active_D_2	62.63588381	6.681897045	15.01097588	54.97483635	23.33228328	5.6	14.8825	395.966	26.61411815
Active_D_3	64.84704588	6.366689506	14.25872734	56.0205223	23.35405152	5.37	16.343	401.902	24.59856898
